Date,Open,High,Low,Close,Vol
20230808,33610,34545,33540,34370,4381
20230809,34360,34580,33750,33805,3490
20230810,33935,34155,33680,33790,2669
20230811,33815,33970,33595,33760,2496
20230814,33710,34095,33375,33690,4578
20230815,33740,33865,33410,33520,2624
20230816,33545,33595,33155,33425,3660
20230817,33305,33305,31770,32145,8664
20230818,30475,31315,29880,30315,11579
20230821,30195,30525,30095,30360,5043
20230822,30485,30505,29985,30025,4410
20230823,30000,31100,29865,30935,7986
20230824,30725,30845,30135,30320,1766
20230825,30280,30630,30055,30260,5919
20230828,30225,30525,30130,30270,3476
20230829,30255,32530,30165,32190,25395
20230830,32090,32150,31305,31440,7327
20230831,31530,31890,30195,30420,15170
20230901,30220,30410,29560,29880,7127
20230905,29980,30145,29760,29915,4682
20230906,29975,30325,29510,29885,5103
20230907,29910,30280,29825,30160,2964
20230908,30430,30735,29875,30185,4797
20230911,30185,30305,29090,29210,8308
20230912,29345,30885,29275,30305,11290
20230913,30370,30695,30045,30385,5192
20230914,30450,31150,30390,30945,6351
20230915,30795,30960,30445,30655,2834
20230918,30810,31730,30605,31065,6686
20230919,31030,31785,30900,31450,5487
20230920,31380,31640,31030,31170,3041
20230921,31330,31400,30565,30815,3962
20230922,30980,31000,30705,30725,1992
20230925,30695,30715,30170,30535,4240
20230926,30485,30590,30270,30425,3335
20230927,30340,31065,30275,30430,5470
20230928,30400,31525,30400,31300,3598
20230929,31250,31395,30740,31045,6484
20231002,31085,32875,31085,32095,12403
20231003,31715,31750,31245,31330,5696
20231004,31460,31960,31225,31720,3757
20231005,31830,32285,31415,31550,4804
20231006,31545,32215,31210,32090,5578
20231009,32110,32110,31330,31680,3202
20231010,31730,31795,31320,31435,2043
20231011,31500,31535,30540,30745,5574
20231012,30745,30970,30515,30700,2852
20231013,30785,31115,30640,30785,3229
20231016,31050,34230,31045,32520,39086
20231017,32550,32705,32185,32565,3999
20231018,32515,33065,32155,32265,6364
20231019,32260,33035,32125,32845,5508
20231020,32715,34410,32640,33630,9694
20231023,33715,35880,33715,35430,13113
20231024,35715,39205,35680,37790,46203
20231025,38145,39190,37690,38785,16578
20231026,38540,38895,37740,37875,5419
20231027,38015,38195,37215,37525,11436
20231030,37750,38745,37750,38335,9948
20231031,38340,38695,37870,38475,3864
20231101,38515,39530,37890,38535,9387
20231102,39450,40130,38155,38870,11526
20231103,38810,38840,37975,38375,6799
20231106,38890,39395,38610,38890,3991
20231107,38905,39900,38330,39715,5865
20231108,39310,39985,38870,39465,7246
20231109,39515,41950,39420,40375,27294
20231110,40465,41445,40170,41125,8541
20231113,41165,41280,40080,40485,6644
20231114,40485,40540,38390,38935,11520
20231115,39280,41695,39070,41390,14418
20231116,41720,41855,39200,39610,13219
20231117,39800,40580,39525,40135,10174
20231120,40420,41435,40300,41185,16233
20231121,41110,41320,39810,40490,19663
20231122,39965,41595,39105,41295,4585
20231124,41050,42335,40905,41540,16944
20231127,41440,41440,40065,40175,10119
20231128,40455,42215,40260,41850,12598
20231129,41865,42075,40970,41030,10133
20231130,41215,41580,40835,41155,4751
20231201,41145,42615,41010,42190,12021
20231204,43185,45690,43185,45245,24965
20231205,45540,47695,44770,47255,21105
20231206,47720,47800,46770,47180,15715
20231207,47245,47520,46325,46665,12944
20231208,46655,48210,46515,47875,10755
20231211,47430,47430,43415,44000,24156
20231212,44365,45265,43860,44420,9614
20231213,44465,46460,43745,46175,10935
20231214,46065,46680,44985,46105,14413
20231215,46340,46450,44820,45405,6955
20231218,44895,45935,43650,45070,8374
20231219,45795,46645,44880,45325,9104
20231220,45505,47565,45280,46595,10915
20231221,46790,47440,46410,46825,8075
20231222,47020,47615,46460,46730,7477
20231226,46745,46745,44605,45115,9317
20231227,45115,46635,45110,46530,10829
20231228,46400,46945,45200,45430,5478
20231229,45120,46020,44235,44805,14027
20240102,46175,49425,46175,47650,30150
20240103,47740,48320,43315,45400,29394
20240104,45535,47735,45325,46950,17782
20240105,47165,47180,45580,46705,16515
20240108,46655,50095,45810,49625,28816
20240109,49050,50810,47590,49365,32344
20240110,48740,49400,46840,48645,46023
20240111,49250,51750,47995,48670,58221
20240112,48755,49005,45465,46010,25599
20240116,45030,45965,44410,45615,20608
20240117,45665,45710,44535,45130,10428
20240118,45070,45240,42890,43200,18280
20240119,43575,44475,42615,43905,20165
20240122,44005,44020,41650,42500,20395
20240123,42180,42475,40860,41555,13171
20240124,41820,42860,41815,42020,14042
20240125,42355,42670,41920,42080,3295
20240126,42305,44660,42195,44445,14084
20240129,44335,45710,44105,45585,7878
20240130,45620,46340,45480,45945,9436
20240131,45945,46170,44605,44870,10825
20240201,44800,45665,44155,45330,9226
20240202,45300,45835,44865,45240,9688
20240205,44875,45890,44320,44610,9349
20240206,44650,45695,44650,45360,5972
20240207,45515,46755,44975,46465,11769
20240208,46500,47955,46500,47805,12769
20240209,47570,50560,47570,49825,21767
20240212,50425,52730,49995,52520,23736
20240213,52325,52780,50635,51695,24130
20240214,52180,54465,51620,54045,25581
20240215,54105,55190,53685,54010,23687
20240216,54000,54925,53890,54080,16900
20240220,54095,55260,52885,54145,24738
20240221,54265,54710,52630,53010,4635
20240222,53575,54225,53010,54095,5212
20240223,53580,53580,52635,53130,10661
20240226,53740,57120,52850,56670,24186
20240227,57030,59715,56640,59000,31085
20240228,58880,66380,58730,62185,83675
20240229,62890,65725,62355,64140,59040
20240301,63255,65440,62820,65205,33419
20240304,65330,70170,64420,69860,68367
20240305,70110,71595,61505,63805,131666
20240306,65225,69615,64725,69140,65306
20240307,68180,70215,67455,69745,39238
20240308,69150,72480,68140,71185,57968
20240311,71035,74940,68900,74040,62604
20240312,74325,75180,70495,73180,74446
20240313,72880,75745,72380,75295,34500
20240314,75105,75785,70160,70980,74850
20240315,72665,74255,67480,70545,75156
20240318,69800,70685,68215,68560,35385
20240319,68970,69765,63890,65975,71851
