CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20180430,13910.0,14393.75,-10290.0,38625.0,2750.0,29137.5,-2260.0,22254.4,-29950.0,15980.7,
20180531,12300.0,19675.0,-8310.0,38512.5,2610.0,26875.0,-3240.0,21313.6,-29950.0,13717.62,
20180629,12300.0,20268.75,-3290.0,39656.25,2330.0,33900.0,-4230.0,21313.6,-32165.0,12982.45,
20180731,6220.0,20256.25,-240.0,41606.25,1560.0,31950.0,-410.0,22299.2,-28970.0,12982.45,
20180831,6220.0,20262.5,2450.0,45787.5,1560.0,35725.0,-290.0,22243.2,-23335.0,12982.45,
20180928,6770.0,20262.5,3500.0,45543.75,1430.0,35625.0,-3110.0,21291.2,-24110.0,13121.75,
20181031,2990.0,22525.0,780.0,39375.0,3350.0,34400.0,-3110.0,21291.2,-21960.0,13465.5,
20181130,15790.0,22943.75,780.0,37931.25,16390.0,34400.0,-3110.0,20899.2,-24825.0,12857.65,
20181231,21580.0,21618.75,4170.0,37931.25,5750.0,32237.5,-3110.0,20451.2,-22135.0,14311.75,
20190131,13440.0,20931.25,7940.0,37931.25,5750.0,32237.5,-1710.0,20451.2,-19475.0,14764.87,
20190228,12560.0,20362.5,7030.0,37931.25,5750.0,32237.5,30.0,20451.2,-22155.0,13968.0,
20190329,12560.0,20537.5,3560.0,38156.25,5750.0,32825.0,-3710.0,20451.2,-23950.0,16186.75,
20190430,14110.0,20812.5,2530.0,39600.0,5750.0,35012.5,-3840.0,20451.2,-24515.0,15639.87,
20190531,9930.0,21806.25,1010.0,38025.0,5930.0,33825.0,-4950.0,20697.6,-22430.0,18389.87,
20190628,5200.0,20175.0,7810.0,39037.5,7220.0,33125.0,-5270.0,20204.8,-25025.0,19608.62,
20190731,3600.0,21312.5,8930.0,35512.5,7790.0,33125.0,-6060.0,19622.4,-21245.0,19061.75,
20190830,-810.0,23037.5,18090.0,35512.5,7310.0,33125.0,-3070.0,20820.8,-12285.0,22702.37,
20190930,-7720.0,24312.5,12440.0,35512.5,4100.0,33125.0,-4240.0,20014.4,-19005.0,19966.85,
20191031,-11870.0,21281.25,13150.0,35512.5,4100.0,32125.0,-1600.0,20014.4,-13660.0,19966.85,
20191129,-11870.0,21281.25,12120.0,38343.75,1290.0,31075.0,330.0,20014.4,-16350.0,19966.85,
20191231,-10470.0,21481.25,9570.0,42337.5,2360.0,31075.0,-970.0,20440.0,-21600.0,19543.9,
20200131,-13960.0,19181.25,13930.0,36356.25,5610.0,31887.5,2330.0,21772.8,-26775.0,18967.37,
20200228,-6890.0,20168.75,11810.0,36356.25,7300.0,31337.5,2060.0,21761.6,-30565.0,22170.5,
20200331,17770.0,13843.75,1730.0,36356.25,8500.0,31675.0,5180.0,22377.6,-24360.0,26108.0,
20200430,25070.0,13843.75,11490.0,36356.25,5620.0,33587.5,5730.0,22635.2,-27790.0,26483.0,
20200529,8490.0,13843.75,14980.0,36843.75,5660.0,34312.5,3040.0,22030.4,-33925.0,26748.62,
20200630,8490.0,13043.75,8970.0,35756.25,7180.0,33037.5,3040.0,21168.0,-33925.0,24670.45,
20200731,8490.0,19868.75,22390.0,33600.0,7290.0,33062.5,3040.0,21168.0,-13450.0,24968.65,
20200831,8490.0,21618.75,21660.0,35662.5,8090.0,36112.5,3040.0,20518.4,7665.0,23874.85,
20200930,8490.0,18781.25,12230.0,29212.5,3080.0,39612.5,8650.0,19779.2,-20325.0,23874.85,
20201030,7250.0,19043.75,12230.0,29212.5,3080.0,41537.5,9640.0,20451.2,-20325.0,24342.2,
20201130,2410.0,18875.0,18350.0,29212.5,1730.0,47150.0,10240.0,20619.2,-22710.0,23092.05,
20201231,5380.0,22193.75,6290.0,29212.5,4960.0,54175.0,8080.0,21716.8,-34825.0,23185.8,
20210129,9010.0,20906.25,2430.0,26587.5,1460.0,57125.0,8080.0,22097.6,-46960.0,24232.67,
20210226,18290.0,19450.0,14580.0,31275.0,1460.0,58712.5,11750.0,23822.4,-49600.0,27451.42,
20210331,15920.0,21093.75,16140.0,27468.75,1460.0,60337.5,17090.0,22299.2,-56235.0,29232.67,
20210430,20290.0,16981.25,8100.0,28575.0,1460.0,66725.0,18860.0,22164.8,-64450.0,28138.92,
20210528,23020.0,16981.25,10830.0,36412.5,-1490.0,66537.5,22130.0,22590.4,-65755.0,26779.65,
20210630,30430.0,16981.25,-300.0,34650.0,2420.0,62912.5,17790.0,21660.8,-72725.0,24874.95,
20210730,23510.0,16981.25,-300.0,42075.0,5240.0,62912.5,17790.0,20753.6,-77740.0,26828.07,
20210831,23510.0,16981.25,-9230.0,47043.75,9670.0,62912.5,17790.0,22915.2,-69805.0,26421.82,
20210930,23280.0,17206.25,-12230.0,46331.25,23900.0,62912.5,17790.0,22646.4,-60010.0,25372.82,
20211029,32370.0,17600.0,-15320.0,50062.5,17680.0,62725.0,17790.0,21716.8,-70625.0,26279.07,
20211130,23380.0,20625.0,-20110.0,59681.25,13720.0,60900.0,17790.0,22164.8,-70625.0,25013.65,
20211231,23380.0,20012.5,-20110.0,57356.25,13670.0,61550.0,15420.0,20630.4,-79425.0,25013.65,
20220131,26040.0,17687.5,-20110.0,60731.25,2730.0,69112.5,15420.0,21369.6,-79425.0,25887.4,
20220228,35440.0,14825.0,-16520.0,60637.5,2730.0,76625.0,18040.0,21302.4,-83645.0,26356.15,
20220331,41330.0,16893.75,-11680.0,58368.75,6400.0,75700.0,17540.0,20372.8,-79810.0,27232.25,
