Date,C_,S_,W_,
20110617,1,0,1,992250.0
20110620,1,0,1,992888.0
20110621,1,0,1,991788.0
20110622,1,0,1,995088.0
20110623,1,1,1,993825.0
20110624,1,1,1,994888.0
20110627,1,1,1,995525.0
20110628,1,1,1,993488.0
20110629,1,1,1,992512.0
20110630,1,1,1,998412.0
20110701,1,1,1,999912.0
20110705,1,1,1,997338.0
20110706,1,1,1,998100.0
20110707,1,1,1,996488.0
20110708,1,1,1,994488.0
20110711,1,0,1,994838.0
20110712,1,0,1,992150.0
20110713,1,0,1,988888.0
20110714,0,0,1,988862.0
20110715,0,0,1,989475.0
20110718,0,0,1,989738.0
20110719,0,0,0,988150.0
20110720,0,0,0,988150.0
20110721,0,0,0,988150.0
20110722,0,0,0,988150.0
20110725,0,0,0,988150.0
20110726,0,0,0,988150.0
20110727,0,0,0,988150.0
20110728,0,0,0,988150.0
20110729,0,0,0,988150.0
20110801,0,0,0,988150.0
20110802,0,0,0,988150.0
20110803,0,0,0,988150.0
20110804,0,0,0,988150.0
20110805,0,0,0,988150.0
20110808,0,0,0,988150.0
20110809,0,1,0,987638.0
20110810,0,1,0,987550.0
20110811,0,0,0,985762.0
20110812,0,0,0,985762.0
20110815,0,0,0,985762.0
20110816,0,0,0,985762.0
20110817,0,0,0,985762.0
20110818,0,0,0,985762.0
20110819,0,0,0,985762.0
20110822,0,0,0,985762.0
20110823,0,1,0,986025.0
20110824,0,1,0,985838.0
20110825,0,1,0,985800.0
20110826,0,1,0,987338.0
20110829,0,1,0,988512.0
20110830,0,1,0,989012.0
20110831,0,1,0,989038.0
20110901,0,1,0,987888.0
20110902,0,1,0,988450.0
20110906,0,1,0,987288.0
20110907,0,1,0,987200.0
20110908,0,1,0,987075.0
20110909,0,1,0,987500.0
20110912,0,1,0,985962.0
20110913,0,0,0,985462.0
20110914,0,0,0,985462.0
20110915,0,0,0,985462.0
20110916,0,0,0,985462.0
20110919,0,0,0,985462.0
20110920,0,0,0,985462.0
20110921,0,0,0,985462.0
20110922,0,1,1,986488.0
20110923,0,1,1,987388.0
20110926,0,1,1,986925.0
20110927,0,1,1,986262.0
20110928,1,1,1,989162.0
20110929,1,1,1,987975.0
20110930,1,1,1,994775.0
20111003,1,1,1,994338.0
20111004,1,1,1,996225.0
20111005,1,1,1,994088.0
20111006,1,1,1,994550.0
20111007,1,1,1,995525.0
20111010,1,1,1,994112.0
20111011,1,1,1,986750.0
20111012,1,1,1,988462.0
20111013,1,1,1,988150.0
20111014,1,1,1,987175.0
20111017,1,1,1,987925.0
20111018,1,1,1,987812.0
20111019,1,1,1,989662.0
20111020,1,1,1,988550.0
20111021,1,1,1,989138.0
20111024,1,1,1,987800.0
20111025,1,1,1,988188.0
20111026,1,1,1,990450.0
20111027,1,1,1,987288.0
20111028,1,1,1,987988.0
20111031,1,1,1,989638.0
20111101,1,1,1,989925.0
20111102,1,1,1,990700.0
20111103,1,1,1,988425.0
20111104,1,1,1,988588.0
20111107,1,1,1,989575.0
20111108,1,1,1,988138.0
20111109,0,1,1,989550.0
20111110,0,1,1,991600.0
20111111,0,1,1,991362.0
20111114,0,1,1,991275.0
20111115,0,1,1,989325.0
20111116,0,1,1,990750.0
20111117,0,1,1,992938.0
20111118,0,1,1,992650.0
20111121,0,1,1,994000.0
20111122,0,1,1,993625.0
20111123,0,1,1,995888.0
20111125,0,1,1,996925.0
20111128,0,1,1,996188.0
20111129,0,1,1,995000.0
20111130,0,1,1,994788.0
20111201,0,1,1,994938.0
20111202,0,1,1,993988.0
20111205,0,1,1,995162.0
20111206,0,1,1,994925.0
20111207,0,1,1,995475.0
20111208,0,1,1,995575.0
20111209,0,1,1,996900.0
20111212,0,1,1,996738.0
20111213,0,1,1,996100.0
20111214,0,1,1,998012.0
20111215,1,1,1,997525.0
20111216,1,1,1,996188.0
20111219,1,1,1,994138.0
20111220,1,1,1,993062.0
20111221,0,1,1,991900.0
20111222,0,0,1,991412.0
20111223,0,0,1,991400.0
20111227,0,0,0,990888.0
20111228,0,0,0,990888.0
20111229,0,0,0,990888.0
20111230,0,0,0,990888.0
20120103,0,0,0,990888.0
20120104,0,0,0,990888.0
20120105,0,0,0,990888.0
20120106,0,0,0,990888.0
20120109,0,0,0,990888.0
20120110,0,0,0,990888.0
20120111,0,0,0,990888.0
20120112,0,0,0,990888.0
20120113,0,0,0,990888.0
20120117,0,0,0,990888.0
20120118,0,0,0,990888.0
20120119,0,0,0,990888.0
20120120,0,0,0,990888.0
20120123,0,0,0,990888.0
20120124,0,0,0,990888.0
20120125,0,0,0,990888.0
20120126,0,0,0,990888.0
20120127,0,0,0,990888.0
20120130,0,0,0,990888.0
20120131,0,0,0,990888.0
20120201,0,0,1,990625.0
20120202,0,0,1,990050.0
20120203,0,0,1,989950.0
20120206,0,0,1,990338.0
20120207,0,0,1,990025.0
20120208,0,0,1,989950.0
20120209,0,1,0,988225.0
20120210,0,1,0,988300.0
20120213,0,1,0,989450.0
20120214,0,1,0,989600.0
20120215,0,1,0,989900.0
20120216,0,1,0,989762.0
20120217,0,1,0,990225.0
20120221,0,1,0,990400.0
20120222,0,1,0,990462.0
20120223,0,1,0,990688.0
20120224,0,1,0,990800.0
20120227,0,1,0,991538.0
20120228,0,1,0,992112.0
20120229,0,1,0,992488.0
20120301,0,1,0,992612.0
20120302,0,1,0,993138.0
20120305,0,1,0,992738.0
20120306,0,1,0,993250.0
20120307,0,1,0,992825.0
20120308,0,1,0,993412.0
20120309,0,1,0,993375.0
20120312,0,1,0,993212.0
20120313,0,1,0,993925.0
20120314,0,1,0,994000.0
20120315,1,1,0,994975.0
20120316,1,1,0,995425.0
20120319,1,1,0,994575.0
20120320,1,1,0,992700.0
20120321,0,1,0,992925.0
20120322,0,1,1,992000.0
20120323,0,1,1,992412.0
20120326,0,1,0,992512.0
20120327,1,1,0,992062.0
20120328,1,1,1,992488.0
20120329,1,1,1,993612.0
20120330,1,1,1,989012.0
20120402,0,1,0,989062.0
20120403,0,1,0,988850.0
20120404,0,1,0,988988.0
20120405,0,1,0,989712.0
20120409,0,1,0,989562.0
20120410,0,1,0,989312.0
20120411,0,1,0,989112.0
20120412,0,1,0,990062.0
20120413,0,1,0,989850.0
20120416,0,1,0,989012.0
20120417,0,1,0,989300.0
20120418,1,1,1,988462.0
20120419,1,1,1,987200.0
20120420,1,1,1,989625.0
20120423,1,1,1,988188.0
20120424,0,1,1,988988.0
20120425,0,1,1,990000.0
20120426,0,1,1,989912.0
20120427,0,1,0,989688.0
