Date,TY,FV,US,ES,NQ,EM,
20110323,0,1,0,0,0,0,506809.0
20110324,0,1,0,0,0,0,506481.0
20110325,0,0,0,0,0,0,506376.0
20110328,0,0,0,0,0,0,506376.0
20110329,0,0,0,0,0,0,506376.0
20110330,0,0,0,0,0,0,506376.0
20110331,0,0,0,0,0,0,506376.0
20110401,0,0,0,0,0,0,506376.0
20110404,0,0,0,0,0,0,506376.0
20110405,0,0,0,0,0,0,506376.0
20110406,0,0,0,0,0,0,506376.0
20110407,0,0,0,0,0,0,506376.0
20110408,0,0,0,0,0,0,506376.0
20110411,0,0,0,0,0,0,506376.0
20110412,0,0,0,0,0,0,506376.0
20110413,0,0,0,0,0,0,506376.0
20110414,0,0,0,0,0,0,506376.0
20110415,0,0,0,0,0,0,506376.0
20110418,0,0,0,0,0,0,506376.0
20110419,0,0,0,0,0,0,506376.0
20110420,0,0,0,0,0,0,506376.0
20110421,0,0,0,0,0,0,506376.0
20110425,0,0,0,0,0,0,506376.0
20110426,0,0,1,1,1,0,505777.0
20110427,0,0,1,1,1,0,505980.0
20110428,1,1,1,1,1,0,506862.0
20110429,1,1,1,1,1,0,507634.0
20110502,1,1,1,1,1,0,507885.0
20110503,1,1,1,1,1,0,508168.0
20110504,1,1,1,1,1,0,508290.0
20110505,1,1,1,0,1,0,508745.0
20110506,1,1,1,0,1,0,509049.0
20110509,1,1,1,0,1,0,509770.0
20110510,1,1,1,1,1,0,508889.0
20110511,1,1,1,1,1,0,508910.0
20110512,1,1,1,1,0,0,507881.0
20110513,1,1,1,1,0,0,508339.0
20110516,1,1,1,1,0,0,508906.0
20110517,1,1,1,0,0,0,509378.0
20110518,1,1,1,0,0,0,507987.0
20110519,0,0,0,0,0,0,506927.0
20110520,1,1,0,0,0,0,507000.0
20110523,1,1,1,0,0,0,507101.0
20110524,1,1,1,0,0,0,507398.0
20110525,1,1,1,0,0,0,507366.0
20110526,1,1,1,0,0,0,509280.0
20110527,1,1,1,0,0,0,509335.0
20110531,1,1,1,0,0,0,509859.0
