Date,EC,JY,BP,
20130227,0,1,1,517875.0
20130228,0,1,1,518262.0
20130301,0,1,1,520550.0
20130304,0,1,1,519725.0
20130305,0,1,1,519525.0
20130306,0,1,1,521062.0
20130307,0,1,1,522312.0
20130308,0,1,1,524156.0
20130311,0,1,1,524862.0
20130312,0,1,1,524538.0
20130313,0,1,1,524600.0
20130314,0,1,1,523675.0
20130315,0,1,1,522831.0
20130318,0,1,1,522662.0
20130319,0,1,1,522219.0
20130320,0,1,1,523194.0
20130321,0,1,1,521425.0
20130322,0,1,1,520519.0
20130325,0,1,1,520212.0
20130326,0,1,1,521025.0
20130327,0,1,1,521031.0
20130328,1,1,1,519925.0
20130329,1,1,1,519925.0
20130401,1,1,1,518106.0
20130402,1,1,1,519288.0
20130403,1,1,1,517975.0
20130404,1,1,1,520844.0
20130405,1,1,1,521319.0
20130408,1,1,1,523925.0
20130409,1,1,1,522319.0
20130410,1,1,1,523581.0
20130411,1,1,1,522625.0
20130412,1,1,1,522006.0
20130415,1,1,1,520825.0
20130416,1,1,1,518600.0
20130417,0,1,1,520056.0
20130418,0,1,1,520081.0
20130419,0,1,1,522275.0
20130422,0,1,1,521794.0
20130423,0,1,1,522019.0
20130424,0,1,1,522000.0
20130425,0,1,1,520688.0
20130426,0,1,1,518994.0
20130429,0,1,0,518650.0
20130430,0,1,0,518000.0
20130501,0,1,0,517838.0
20130502,0,1,0,518600.0
20130503,0,1,0,519988.0
20130506,0,1,0,520438.0
20130507,0,1,0,519900.0
20130508,0,1,0,519688.0
20130509,0,1,0,521925.0
20130510,0,1,0,523100.0
20130513,0,1,0,523588.0
20130514,0,1,0,523950.0
20130515,0,1,0,524038.0
20130516,0,1,0,523738.0
20130517,0,1,0,525075.0
20130520,0,1,0,523962.0
20130521,0,1,0,524325.0
20130522,0,1,0,525100.0
20130523,0,1,0,523512.0
20130524,0,1,0,522475.0
20130528,0,1,0,523762.0
20130529,0,1,0,522650.0
20130530,0,1,0,522388.0
20130531,0,1,0,522050.0
20130603,0,1,0,520525.0
20130604,0,1,0,521275.0
20130605,0,1,0,520250.0
20130606,0,1,0,517638.0
20130607,0,1,1,517731.0
20130610,0,1,1,519638.0
20130611,0,1,1,516606.0
20130612,1,0,1,516800.0
20130613,1,0,1,517125.0
20130614,1,0,1,517100.0
20130617,1,0,1,517069.0
20130618,1,0,1,517575.0
20130619,1,0,1,514850.0
20130620,1,0,1,513875.0
20130621,1,0,1,512881.0
20130624,1,0,1,512775.0
20130625,1,0,1,512244.0
20130626,1,0,1,510444.0
20130627,0,0,1,510062.0
20130628,0,0,0,509962.0
20130701,0,0,0,509962.0
20130702,0,0,0,509962.0
20130703,0,0,0,509962.0
20130705,0,0,0,509962.0
20130708,0,0,1,509538.0
20130709,0,0,1,510038.0
20130710,0,0,1,509694.0
20130711,0,0,1,508025.0
20130712,0,0,1,508575.0
20130715,0,0,1,508575.0
20130716,0,0,1,508288.0
20130717,0,0,1,507912.0
20130718,0,0,1,507856.0
20130719,0,0,1,507581.0
20130722,0,0,1,506981.0
20130723,0,0,0,506894.0
20130724,0,0,0,506894.0
20130725,0,0,0,506894.0
20130726,0,0,0,506894.0
20130729,0,0,0,506894.0
20130730,0,0,0,506894.0
20130731,0,0,0,506894.0
20130801,0,0,0,506894.0
20130802,0,0,0,506894.0
20130805,0,0,0,506894.0
20130806,0,0,0,506894.0
20130807,0,0,0,506894.0
20130808,0,0,0,506894.0
20130809,0,0,0,506894.0
20130812,0,0,0,506894.0
20130813,0,0,0,506894.0
20130814,0,0,0,506894.0
20130815,0,0,0,506894.0
20130816,0,0,0,506894.0
20130819,0,0,0,506894.0
20130820,0,0,0,506894.0
20130821,0,0,0,506894.0
20130822,0,0,0,506894.0
20130823,0,0,0,506894.0
20130826,0,0,0,506894.0
20130827,0,0,0,506894.0
20130828,0,0,0,506894.0
20130829,0,0,0,506894.0
