Date,ES,
20130822,1,106312.0
20130823,1,106650.0
20130826,0,106638.0
20130827,0,106638.0
20130828,1,106938.0
20130829,0,106750.0
20130830,0,106750.0
20130903,0,106750.0
20130904,0,106750.0
20130905,0,106750.0
20130906,0,106750.0
20130909,0,106750.0
20130910,0,106750.0
20130911,0,106750.0
20130912,0,106750.0
20130913,0,106750.0
20130916,0,106750.0
20130917,0,106750.0
20130918,0,106750.0
20130919,0,106750.0
20130920,0,106750.0
20130923,1,106362.0
20130924,1,106350.0
20130925,1,106012.0
20130926,1,106350.0
20130927,1,106050.0
20130930,0,105175.0
20131001,0,105175.0
20131002,0,105175.0
20131003,0,105175.0
20131004,0,105175.0
20131007,0,105175.0
20131008,0,105175.0
20131009,1,105200.0
20131010,1,107012.0
20131011,0,106912.0
20131014,0,106912.0
20131015,0,106912.0
20131016,0,106912.0
20131017,0,106912.0
20131018,0,106912.0
20131021,0,106912.0
20131022,0,106912.0
20131023,0,106912.0
20131024,0,106912.0
20131025,0,106912.0
20131028,0,106912.0
20131029,0,106912.0
20131030,0,106912.0
20131031,0,106912.0
20131101,1,107138.0
20131104,0,107450.0
20131105,0,107450.0
20131106,0,107450.0
20131107,0,107450.0
20131108,0,107450.0
20131111,0,107450.0
20131112,0,107450.0
20131113,0,107450.0
20131114,0,107450.0
20131115,0,107450.0
20131118,0,107450.0
20131119,0,107450.0
20131120,1,107338.0
20131121,1,108038.0
20131122,0,108038.0
20131125,0,108038.0
20131126,0,108038.0
20131127,0,108038.0
20131129,0,108038.0
20131202,0,108038.0
20131203,1,107912.0
20131204,1,107925.0
20131205,1,107538.0
20131206,1,108588.0
20131209,0,108775.0
20131210,0,108775.0
20131211,0,108775.0
20131212,1,108550.0
20131213,1,108550.0
20131216,1,109138.0
20131217,0,109150.0
20131218,0,109150.0
20131219,0,109150.0
20131220,0,109150.0
20131223,0,109150.0
20131224,0,109150.0
20131226,0,109150.0
20131227,0,109150.0
20131230,0,109150.0
20131231,0,109150.0
20140102,0,109150.0
20140103,0,109150.0
20140106,1,109038.0
20140107,1,109538.0
20140108,0,109512.0
20140109,0,109512.0
20140110,0,109512.0
20140113,0,109512.0
20140114,0,109512.0
20140115,0,109512.0
20140116,0,109512.0
20140117,0,109512.0
20140121,1,109975.0
20140122,0,110062.0
20140123,0,110062.0
20140124,0,110062.0
20140127,1,109788.0
20140128,1,110412.0
20140129,0,109512.0
20140130,0,109512.0
20140131,0,109512.0
20140203,0,109512.0
20140204,0,109512.0
20140205,0,109512.0
20140206,0,109512.0
20140207,0,109512.0
20140210,0,109512.0
20140211,0,109512.0
20140212,0,109512.0
20140213,0,109512.0
20140214,0,109512.0
20140218,0,109512.0
20140219,0,109512.0
20140220,0,109512.0
20140221,0,109512.0
20140224,0,109512.0
20140225,0,109512.0
20140226,0,109512.0
20140227,0,109512.0
20140228,0,109512.0
20140303,0,109512.0
20140304,0,109512.0
20140305,0,109512.0
20140306,0,109512.0
20140307,0,109512.0
20140310,0,109512.0
20140311,0,109512.0
20140312,1,109988.0
20140313,0,110225.0
20140314,0,110225.0
20140317,0,110225.0
20140318,0,110225.0
20140319,0,110225.0
20140320,0,110225.0
20140321,0,110225.0
20140324,0,110225.0
20140325,0,110225.0
20140326,0,110225.0
20140327,0,110225.0
20140328,0,110225.0
20140331,0,110225.0
20140401,0,110225.0
20140402,0,110225.0
20140403,0,110225.0
20140404,0,110225.0
20140407,0,110225.0
20140408,1,110750.0
20140409,0,110988.0
20140410,0,110988.0
20140411,0,110988.0
20140414,0,110988.0
20140415,0,110988.0
20140416,0,110988.0
20140417,0,110988.0
20140421,0,110988.0
20140422,0,110988.0
20140423,0,110988.0
20140424,0,110988.0
20140425,0,110988.0
20140428,0,110988.0
20140429,0,110988.0
20140430,0,110988.0
20140501,0,110988.0
20140502,0,110988.0
20140505,1,111488.0
20140506,0,111362.0
20140507,0,111362.0
20140508,0,111362.0
20140509,0,111362.0
20140512,0,111362.0
20140513,0,111362.0
20140514,0,111362.0
20140515,0,111362.0
20140516,0,111362.0
20140519,0,111362.0
20140520,0,111362.0
20140521,0,111362.0
20140522,0,111362.0
20140523,0,111362.0
20140527,0,111362.0
20140528,0,111362.0
