CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20190930,-6230.0,5131.25,15880.0,7600.0,25010.0,-21125.0,-1850.0,25650.4,40885.0,8331.25,
20191031,-6230.0,2456.25,15880.0,7300.0,26550.0,-22000.0,-2070.0,25840.8,40885.0,8315.62,
20191129,-6230.0,4325.0,15820.0,10137.5,24630.0,-22950.0,-140.0,25298.0,40770.0,5671.88,
20191231,-3840.0,1750.0,9750.0,12731.25,25700.0,-26450.0,-1440.0,25835.6,35815.0,6609.38,
20200131,-6940.0,-1843.75,17700.0,9718.75,28950.0,-22300.0,4980.0,27168.4,30760.0,6262.5,
20200228,-1590.0,-856.25,12650.0,7131.25,30990.0,-22850.0,4710.0,27157.2,28470.0,9465.62,
20200331,17710.0,-11812.5,2540.0,2393.75,31770.0,-22512.5,-40.0,27600.0,35545.0,12446.28,
20200430,25160.0,-10718.75,9990.0,-1575.0,29950.0,-20600.0,-430.0,27857.6,35545.0,12821.28,
20200529,25540.0,-12456.25,9990.0,768.75,32370.0,-19875.0,-880.0,27252.8,39310.0,13086.9,
20200630,29070.0,-13056.25,10200.0,-318.75,33890.0,-21475.0,2200.0,26094.0,39220.0,7783.78,
20200731,29910.0,-6375.0,24090.0,-1100.0,34000.0,-20962.5,420.0,26855.6,53750.0,8690.03,
20200831,32620.0,-4625.0,27300.0,1675.0,34130.0,-17912.5,-1660.0,26878.0,56135.0,8002.53,
20200930,30590.0,-7462.5,27300.0,3368.75,24610.0,-14737.5,5070.0,27247.6,56135.0,8283.78,
20201030,35300.0,-8468.75,27300.0,4118.75,20300.0,-12812.5,5260.0,28199.6,56135.0,7640.03,
20201130,30040.0,-12350.0,34320.0,-2100.0,18650.0,-7325.0,5860.0,28367.6,56135.0,7296.28,
20201231,33010.0,-9031.25,29700.0,-243.75,21880.0,-300.0,990.0,29465.2,51065.0,7390.03,
20210129,36310.0,-10318.75,29700.0,-2231.25,21730.0,1650.0,1040.0,29846.0,45995.0,8436.9,
20210226,45460.0,-11087.5,35280.0,2456.25,15970.0,3237.5,3710.0,31570.8,40925.0,11655.65,
20210331,50590.0,-9612.5,36290.0,-3893.75,13840.0,4862.5,8310.0,29689.2,38735.0,13436.9,
20210430,50590.0,-13243.75,32090.0,-8762.5,12340.0,9162.5,10080.0,32209.2,35870.0,12343.15,
20210528,49890.0,-15006.25,40690.0,-975.0,11480.0,15550.0,13350.0,32634.8,30840.0,11546.28,
20210630,58040.0,-18756.25,33040.0,-6031.25,17930.0,10487.5,4910.0,32881.2,22870.0,10683.78,
20210730,52980.0,-18768.75,29440.0,-3637.5,19770.0,10487.5,5280.0,32764.0,20835.0,12636.9,
20210831,49240.0,-18137.5,24390.0,-3637.5,24200.0,10487.5,4970.0,34925.6,28125.0,12230.65,
20210930,49210.0,-15181.25,24390.0,-3637.5,36200.0,11187.5,3550.0,34656.8,29595.0,11805.65,
20211029,57320.0,-14787.5,24390.0,-4725.0,29650.0,11987.5,-180.0,33027.6,23055.0,12711.9,
20211130,51550.0,-11856.25,19340.0,2443.75,21070.0,13600.0,-2380.0,29668.4,18005.0,11821.28,
20211231,45280.0,-12468.75,19340.0,118.75,23370.0,12012.5,-2980.0,29354.8,12955.0,10052.53,
20220131,50210.0,-10606.25,19340.0,-1225.0,23370.0,19112.5,-4050.0,30094.0,12955.0,9002.53,
20220228,60180.0,-19506.25,26790.0,-6281.25,18320.0,25262.5,2750.0,30026.8,10785.0,9471.28,
20220331,70030.0,-17437.5,34240.0,-13568.75,19110.0,24337.5,2750.0,29517.6,15380.0,15702.78,
