Date,EC,JY,
20120405,1,1,57117.0
20120406,1,1,58442.0
20120409,1,1,57729.0
20120410,1,1,59942.0
20120411,1,1,59404.0
20120412,1,1,58404.0
20120413,1,1,59267.0
20120416,1,1,59742.0
20120417,1,1,59104.0
20120418,1,1,58469.0
20120419,1,1,58819.0
20120420,1,1,58570.0
20120423,1,1,56845.0
20120424,1,1,57632.0
20120425,1,1,58232.0
20120426,1,1,56522.0
20120427,1,1,57859.0
20120430,1,1,58709.0
20120501,1,1,57822.0
20120502,1,1,57072.0
20120503,1,1,55660.0
20120504,1,1,57273.0
20120507,1,1,57573.0
20120508,1,1,58135.0
20120509,1,1,59398.0
20120510,1,1,58885.0
20120511,1,1,59310.0
20120514,1,1,60323.0
20120515,1,1,61124.0
20120516,1,1,61274.0
20120517,1,1,60185.0
20120518,1,1,60273.0
20120521,1,1,59060.0
20120522,1,1,58423.0
20120523,1,1,61573.0
20120524,1,1,61948.0
20120525,1,1,61898.0
20120529,1,1,62510.0
20120530,1,1,64748.0
20120531,1,1,66485.0
20120601,1,1,66298.0
20120604,1,1,64810.0
20120605,1,1,62935.0
20120606,1,1,63323.0
20120607,1,1,64523.0
20120608,1,1,62898.0
20120611,1,1,62748.0
20120612,1,1,62860.0
20120613,1,1,63610.0
20120614,1,1,63648.0
20120615,1,1,62923.0
20120618,1,1,63098.0
20120619,1,1,64285.0
20120620,1,1,64923.0
20120621,1,1,64669.0
20120622,1,1,64819.0
20120625,1,1,64144.0
20120626,1,1,63719.0
20120627,1,1,64744.0
20120628,1,1,64494.0
20120629,1,1,62634.0
20120702,1,1,60934.0
20120703,1,1,62071.0
20120705,1,1,60029.0
20120706,1,1,59702.0
20120709,1,1,59352.0
20120710,1,1,60402.0
20120711,1,1,60327.0
20120712,1,1,61327.0
20120713,1,1,60827.0
20120716,1,1,61302.0
20120717,1,1,60589.0
20120718,1,1,61514.0
20120719,1,1,61739.0
20120720,1,1,63464.0
20120723,1,1,64002.0
20120724,1,1,65264.0
20120725,1,1,64214.0
20120726,1,1,64608.0
20120727,1,1,64083.0
20120730,1,1,64371.0
20120731,1,1,64983.0
20120801,1,1,63508.0
20120802,1,1,61946.0
20120803,1,1,65208.0
