-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : CL Mkt Name : Crude
20110601    SimpleBuy  1  10.81900       0.00       0.00
20110620         Lxit  1  10.45400   -3750.00  -16830.00
20110805   SimpleSell  1  10.10900       0.00       0.00
20111117   OTE - Sxit  1   9.27400    8250.00   -8580.00
20120628    SimpleBuy  1   8.05600       0.00       0.00
20120817         Lxit  1   8.01900    -470.00   -9050.00
20121002    SimpleBuy  1   8.57600       0.00       0.00
20121105         Lxit  1   8.27900   -3070.00  -12120.00
20121217   SimpleSell  1   7.90700       0.00       0.00
20130306        Sxit1  1   8.02300   -1260.00  -13380.00
20130319    SimpleBuy  1   8.38200       0.00       0.00
20130604         Lxit  1   8.37900    -130.00  -13510.00
20130628   SimpleSell  1   7.96600       0.00       0.00
20130917        Sxit1  1   8.06800   -1120.00  -14630.00
20131105   SimpleSell  1   7.59800       0.00       0.00
20131119        Sxit1  1   7.76900   -1810.00  -16440.00
20131206    SimpleBuy  1   8.25600       0.00       0.00
20140113         Lxit  1   8.17900    -870.00  -17310.00
20140123    SimpleBuy  1   8.75800       0.00       0.00
20140205   OTE - Lxit  1   9.51600    7480.00   -9830.00
20140708   SimpleSell  1   9.24300       0.00       0.00
20140731   OTE - Sxit  1   8.79600    4370.00   -5460.00
20141022   SimpleSell  1   8.61300       0.00       0.00
20141104        Sxit1  1   8.87800   -2750.00   -8210.00
20141106    SimpleBuy  1   9.04600       0.00       0.00
20141114         Lxit  1   8.81500   -2410.00  -10620.00
20141118    SimpleBuy  1   9.14000       0.00       0.00
20141125         Lxit  1   8.97500   -1750.00  -12370.00
20141204   SimpleSell  1   8.47300       0.00       0.00
20141223   OTE - Sxit  1   7.85700    6060.00   -6310.00
20150519    SimpleBuy  1   7.61800       0.00       0.00
20150529         Lxit  1   7.28300   -3450.00   -9760.00
20150918   SimpleSell  1   7.18200       0.00       0.00
20151111   OTE - Sxit  1   6.49700    6750.00   -3010.00
20160606    SimpleBuy  1   6.02300       0.00       0.00
20160630   OTE - Lxit  1   6.41500    3820.00     810.00
20160921    SimpleBuy  1   6.62600       0.00       0.00
20161025         Lxit  1   6.34100   -2950.00   -2140.00
20161102   SimpleSell  1   5.96700       0.00       0.00
20161129        Sxit1  1   6.34900   -3920.00   -6060.00
20170222   SimpleSell  1   5.54400       0.00       0.00
20170406        Sxit1  1   6.04300   -5090.00  -11150.00
20170602   SimpleSell  1   5.64300       0.00       0.00
20170905        Sxit1  1   5.56700     660.00  -10490.00
20171004   SimpleSell  1   5.39700       0.00       0.00
20171016        Sxit1  1   5.45200    -650.00  -11140.00
20171020   SimpleSell  1   5.37800       0.00       0.00
