CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20190731,-22789.74,22326.1,-17776.03,1534.08,5214.92,29083.59,-16350.59,12566.21,-2474.02,14038.33,
20190830,-22789.74,22326.1,-8616.03,1534.08,4734.92,29083.59,-13360.59,13764.61,6485.98,17678.95,
20190930,-22789.74,22974.7,-14266.03,1534.08,1453.07,29083.59,-14530.59,12908.21,-234.02,14893.43,
20191031,-22789.74,19893.45,-13606.03,1534.08,1453.07,27933.59,-11890.59,12908.21,5110.98,14893.43,
20191129,-22789.74,19893.45,-13606.03,4365.33,-1709.97,26833.59,-9960.59,12908.21,2370.98,14893.43,
20191231,-22789.74,19893.45,-13606.03,8359.08,-1709.97,26833.59,-11260.59,12762.61,2370.98,14893.43,
20200131,-27849.74,19893.45,-9237.99,2327.83,-1229.97,27208.59,-11660.59,14095.41,-2683.18,15448.43,
20200228,-21329.74,18049.7,-11357.99,2327.83,460.03,26658.59,-11270.59,14084.21,-2683.18,18651.56,
20200331,3330.26,11584.41,-17871.97,2327.83,1660.03,26996.09,-8150.59,14660.36,2036.82,22589.06,
20200430,10630.26,11584.41,-19161.97,2327.83,-1269.97,28908.59,-7600.59,14917.96,-7753.18,22964.06,
20200529,-5999.74,11584.41,-15671.97,2327.83,-1269.97,29633.59,-10340.59,14313.16,-7753.18,23229.68,
20200630,-5999.74,10228.16,-21731.97,1486.57,-1269.97,28308.59,-10340.59,13400.76,-7753.18,21101.51,
20200731,-5999.74,17053.16,-18781.97,-719.68,-1269.97,28308.59,-10340.59,13400.76,12732.67,21101.51,
20200831,-5999.74,18803.16,-31840.08,1348.96,80.03,28308.59,-10340.59,13400.76,33847.67,21101.51,
20200930,-5999.74,15965.66,-31840.08,-5151.04,-4979.97,31908.59,-5090.59,13400.76,5807.67,21101.51,
20201030,-5999.74,16178.16,-31840.08,-5151.04,-4979.97,33833.59,-4100.59,12459.96,5807.67,21101.51,
20201130,-5999.74,16178.16,-28730.08,-5151.04,-4979.97,39446.09,-3500.59,12627.96,5807.67,21101.51,
20201231,-3594.9,16390.66,-36900.08,-5151.04,-6029.97,46471.09,-5710.59,13725.56,5807.67,21101.51,
20210129,35.1,15103.16,-36900.08,-5151.04,-9579.97,49421.09,-5710.59,14106.36,752.68,21101.51,
20210226,9315.1,13596.91,-32180.08,-5151.04,-9579.97,51008.59,-4410.59,15831.16,752.68,23242.13,
20210331,6945.1,15575.6,-30620.08,-5151.04,-9579.97,52633.59,929.41,14213.16,752.68,25023.38,
20210430,11315.1,11413.1,-38710.08,-5151.04,-9579.97,59021.09,2699.41,14078.94,752.68,23929.63,
20210528,14045.1,11413.1,-35971.01,-538.54,-9579.97,58833.59,5969.41,14504.54,-4311.93,22520.36,
20210630,21455.1,11413.1,-43761.01,-2301.04,-5746.05,55158.59,1579.41,13524.94,-9379.36,22520.36,
20210730,14485.1,11413.1,-43761.01,5123.96,-2926.05,55158.59,1579.41,13524.94,-14436.57,22379.73,
20210831,14485.1,11413.1,-43761.01,10092.71,1503.95,55158.59,1579.41,13793.74,-16986.57,21973.48,
20210930,14485.1,11413.1,-43761.01,9380.21,15733.95,55158.59,1579.41,13524.94,-18604.84,21250.11,
20211029,16055.1,11769.35,-43761.01,13111.46,9513.95,55158.59,1579.41,12545.34,-24569.84,21578.23,
20211130,9425.1,14794.35,-43761.01,22730.21,5503.95,55158.59,1579.41,12545.34,-24569.84,20262.81,
20211231,9425.1,14181.85,-43761.01,20405.21,5503.95,54939.67,1579.41,12545.34,-29640.17,20262.81,
20220131,11417.07,13113.1,-43761.01,23780.21,5503.95,62502.17,1579.41,12511.74,-29640.17,20762.81,
20220228,20817.07,13113.1,-44341.01,23636.46,5503.95,70014.67,2569.41,12444.54,-29640.17,21231.56,
20220331,26707.07,11413.1,-39501.01,19567.71,9177.74,69089.67,2069.41,11680.78,-39788.55,22058.21,
